group_num;n_bins;distance;method
0;111;0.913321;Correlation
0;111;0.368774;Chisquare Alt
0;111;0.770485;Intersect
0;111;0.254778;KL DIV
0;112;0.234525;Bhattacharyya
0;112;0.537394;Chisquare
0;112;0.916686;Correlation
0;112;0.378114;Chisquare Alt
0;112;0.769754;Intersect
0;112;0.269774;KL DIV
0;113;0.232298;Bhattacharyya
0;113;0.538509;Chisquare
0;113;0.909111;Correlation
0;113;0.373889;Chisquare Alt
0;113;0.768943;Intersect
0;113;0.266864;KL DIV
0;114;0.233806;Bhattacharyya
0;114;0.550946;Chisquare
0;114;0.905741;Correlation
0;114;0.376491;Chisquare Alt
0;114;0.767109;Intersect
0;114;0.27038;KL DIV
0;115;0.236387;Bhattacharyya
0;115;0.540667;Chisquare
0;115;0.908501;Correlation
0;115;0.383393;Chisquare Alt
0;115;0.76525;Intersect
0;115;0.290111;KL DIV
0;116;0.235363;Bhattacharyya
0;116;0.555731;Chisquare
0;116;0.901548;Correlation
0;116;0.381031;Chisquare Alt
0;116;0.76787;Intersect
0;116;0.277201;KL DIV
0;117;0.236444;Bhattacharyya
0;117;0.540059;Chisquare
0;117;0.906558;Correlation
0;117;0.38183;Chisquare Alt
0;117;0.767894;Intersect
0;117;0.279316;KL DIV
0;118;0.237046;Bhattacharyya
0;118;0.544529;Chisquare
0;118;0.904177;Correlation
0;118;0.385191;Chisquare Alt
0;118;0.76594;Intersect
0;118;0.285735;KL DIV
0;119;0.237227;Bhattacharyya
0;119;0.555699;Chisquare
0;119;0.901126;Correlation
0;119;0.386444;Chisquare Alt
0;119;0.766148;Intersect
0;119;0.28029;KL DIV
0;120;0.239522;Bhattacharyya
0;120;0.548158;Chisquare
0;120;0.905062;Correlation
0;120;0.388783;Chisquare Alt
0;120;0.764021;Intersect
0;120;0.294636;KL DIV
0;121;0.238942;Bhattacharyya
0;121;0.570602;Chisquare
0;121;0.903612;Correlation
0;121;0.391044;Chisquare Alt
0;121;0.764349;Intersect
0;121;0.286608;KL DIV
0;122;0.238178;Bhattacharyya
0;122;0.538694;Chisquare
0;122;0.90429;Correlation
0;122;0.387138;Chisquare Alt
0;122;0.763734;Intersect
0;122;0.290098;KL DIV
0;123;0.240305;Bhattacharyya
0;123;0.568158;Chisquare
0;123;0.900377;Correlation
0;123;0.394768;Chisquare Alt
0;123;0.763039;Intersect
0;123;0.288817;KL DIV
0;124;0.241114;Bhattacharyya
0;124;0.584096;Chisquare
0;124;0.89728;Correlation
0;124;0.397167;Chisquare Alt
0;124;0.76077;Intersect
0;124;0.293437;KL DIV
0;125;0.242783;Bhattacharyya
0;125;0.581875;Chisquare
0;125;0.9021;Correlation
0;125;0.39829;Chisquare Alt
0;125;0.761712;Intersect
0;125;0.293914;KL DIV
0;126;0.242623;Bhattacharyya
0;126;0.571797;Chisquare
0;126;0.900287;Correlation
0;126;0.400523;Chisquare Alt
0;126;0.760041;Intersect
0;126;0.301641;KL DIV
0;127;0.2436;Bhattacharyya
0;127;0.576078;Chisquare
0;127;0.901862;Correlation
0;127;0.402324;Chisquare Alt
0;127;0.761468;Intersect
0;127;0.308968;KL DIV
0;128;0.243563;Bhattacharyya
0;128;0.596059;Chisquare
0;128;0.901995;Correlation
0;128;0.402529;Chisquare Alt
0;128;0.75888;Intersect
0;128;0.292601;KL DIV
0;129;0.244411;Bhattacharyya
0;129;0.60058;Chisquare
0;129;0.902923;Correlation
0;129;0.40441;Chisquare Alt
0;129;0.761178;Intersect
0;129;0.30573;KL DIV
0;130;0.244471;Bhattacharyya
0;130;0.592338;Chisquare
0;130;0.900749;Correlation
0;130;0.406007;Chisquare Alt
0;130;0.758169;Intersect
0;130;0.307374;KL DIV
0;131;0.2453;Bhattacharyya
0;131;0.573752;Chisquare
0;131;0.903276;Correlation
0;131;0.406578;Chisquare Alt
0;131;0.760248;Intersect
0;131;0.304225;KL DIV
0;132;0.246472;Bhattacharyya
0;132;0.600823;Chisquare
0;132;0.903042;Correlation
0;132;0.409472;Chisquare Alt
0;132;0.758084;Intersect
0;132;0.322159;KL DIV
0;133;0.247287;Bhattacharyya
0;133;0.58665;Chisquare
0;133;0.902664;Correlation
0;133;0.411419;Chisquare Alt
0;133;0.758986;Intersect
0;133;0.31729;KL DIV
0;134;0.247258;Bhattacharyya
0;134;0.582448;Chisquare
0;134;0.90143;Correlation
0;134;0.411019;Chisquare Alt
0;134;0.756297;Intersect
0;134;0.313237;KL DIV
0;135;0.247017;Bhattacharyya
0;135;0.613691;Chisquare
0;135;0.901864;Correlation
0;135;0.412588;Chisquare Alt
0;135;0.757968;Intersect
0;135;0.318471;KL DIV
0;136;0.24866;Bhattacharyya
0;136;0.599932;Chisquare
0;136;0.902283;Correlation
0;136;0.413057;Chisquare Alt
0;136;0.756609;Intersect
0;136;0.32968;KL DIV
0;137;0.249333;Bhattacharyya
0;137;0.595349;Chisquare
0;137;0.902529;Correlation
0;137;0.413792;Chisquare Alt
0;137;0.757693;Intersect
0;137;0.332468;KL DIV
0;138;0.249943;Bhattacharyya
0;138;0.602716;Chisquare
0;138;0.901577;Correlation
0;138;0.41998;Chisquare Alt
0;138;0.753931;Intersect
0;138;0.322999;KL DIV
0;139;0.250461;Bhattacharyya
0;139;0.58355;Chisquare
0;139;0.901927;Correlation
0;139;0.417375;Chisquare Alt
0;139;0.756586;Intersect
0;139;0.331693;KL DIV
0;140;0.25014;Bhattacharyya
0;140;0.592258;Chisquare
0;140;0.900714;Correlation
0;140;0.416695;Chisquare Alt
0;140;0.757552;Intersect
0;140;0.328987;KL DIV
0;141;0.251778;Bhattacharyya
0;141;0.598325;Chisquare
0;141;0.902045;Correlation
0;141;0.423007;Chisquare Alt
0;141;0.754772;Intersect
0;141;0.343923;KL DIV
0;142;0.254016;Bhattacharyya
0;142;0.608429;Chisquare
0;142;0.90167;Correlation
0;142;0.425576;Chisquare Alt
0;142;0.755122;Intersect
0;142;0.351369;KL DIV
0;143;0.251613;Bhattacharyya
0;143;0.594624;Chisquare
0;143;0.897881;Correlation
0;143;0.422344;Chisquare Alt
0;143;0.753144;Intersect
0;143;0.334839;KL DIV
0;144;0.254578;Bhattacharyya
0;144;0.612573;Chisquare
0;144;0.90017;Correlation
0;144;0.429081;Chisquare Alt
0;144;0.752892;Intersect
0;144;0.354578;KL DIV
0;145;0.252438;Bhattacharyya
0;145;0.592899;Chisquare
0;145;0.901674;Correlation
0;145;0.422714;Chisquare Alt
0;145;0.754792;Intersect
0;145;0.336317;KL DIV
0;146;0.25629;Bhattacharyya
0;146;0.606688;Chisquare
0;146;0.89783;Correlation
0;146;0.434014;Chisquare Alt
0;146;0.750953;Intersect
0;146;0.351094;KL DIV
0;147;0.254525;Bhattacharyya
0;147;0.617948;Chisquare
0;147;0.898459;Correlation
0;147;0.428761;Chisquare Alt
0;147;0.752106;Intersect
0;147;0.342756;KL DIV
0;148;0.255522;Bhattacharyya
0;148;0.6068;Chisquare
0;148;0.899483;Correlation
0;148;0.431447;Chisquare Alt
0;148;0.751945;Intersect
