group_num;n_bins;distance;method
0;119;0.199872;Intersect
0;119;12.1857;KL DIV
0;120;0.814765;Bhattacharyya
0;120;71.3996;Chisquare
0;120;0.0955191;Correlation
0;120;2.90222;Chisquare Alt
0;120;0.198891;Intersect
0;120;12.2008;KL DIV
0;121;0.81521;Bhattacharyya
0;121;46.1176;Chisquare
0;121;0.100642;Correlation
0;121;2.90158;Chisquare Alt
0;121;0.199983;Intersect
0;121;12.1645;KL DIV
0;122;0.815647;Bhattacharyya
0;122;48.7359;Chisquare
0;122;0.0977821;Correlation
0;122;2.90226;Chisquare Alt
0;122;0.199527;Intersect
0;122;12.155;KL DIV
0;123;0.815522;Bhattacharyya
0;123;64.5152;Chisquare
0;123;0.0964916;Correlation
0;123;2.90148;Chisquare Alt
0;123;0.199777;Intersect
0;123;12.1636;KL DIV
0;124;0.815321;Bhattacharyya
0;124;52.8802;Chisquare
0;124;0.0883191;Correlation
0;124;2.90659;Chisquare Alt
0;124;0.198578;Intersect
0;124;12.1559;KL DIV
0;125;0.815746;Bhattacharyya
0;125;38.2655;Chisquare
0;125;0.0965878;Correlation
0;125;2.90289;Chisquare Alt
0;125;0.199127;Intersect
0;125;12.1091;KL DIV
0;126;0.816293;Bhattacharyya
0;126;64.5453;Chisquare
0;126;0.0897493;Correlation
0;126;2.90776;Chisquare Alt
0;126;0.19877;Intersect
0;126;12.1672;KL DIV
0;127;0.815855;Bhattacharyya
0;127;53.8035;Chisquare
0;127;0.0963008;Correlation
0;127;2.90294;Chisquare Alt
0;127;0.199068;Intersect
0;127;12.1213;KL DIV
0;128;0.816922;Bhattacharyya
0;128;38.1051;Chisquare
0;128;0.0945902;Correlation
0;128;2.91004;Chisquare Alt
0;128;0.198286;Intersect
0;128;12.1086;KL DIV
0;129;0.816469;Bhattacharyya
0;129;36.772;Chisquare
0;129;0.0988916;Correlation
0;129;2.90418;Chisquare Alt
0;129;0.198906;Intersect
0;129;12.1118;KL DIV
0;130;0.816563;Bhattacharyya
0;130;53.9595;Chisquare
0;130;0.094291;Correlation
0;130;2.90917;Chisquare Alt
0;130;0.198591;Intersect
0;130;12.1283;KL DIV
0;131;0.816769;Bhattacharyya
0;131;52.5579;Chisquare
0;131;0.100968;Correlation
0;131;2.90487;Chisquare Alt
0;131;0.199234;Intersect
0;131;12.112;KL DIV
0;132;0.81707;Bhattacharyya
0;132;36.7927;Chisquare
0;132;0.0952648;Correlation
0;132;2.90968;Chisquare Alt
0;132;0.198393;Intersect
0;132;12.1065;KL DIV
0;133;0.816506;Bhattacharyya
0;133;48.9996;Chisquare
0;133;0.0958599;Correlation
0;133;2.90781;Chisquare Alt
0;133;0.19874;Intersect
0;133;12.1005;KL DIV
0;134;0.816725;Bhattacharyya
0;134;58.8035;Chisquare
0;134;0.0935523;Correlation
0;134;2.90941;Chisquare Alt
0;134;0.19795;Intersect
0;134;12.0995;KL DIV
0;135;0.816895;Bhattacharyya
0;135;47.5237;Chisquare
0;135;0.0967179;Correlation
0;135;2.90763;Chisquare Alt
0;135;0.198757;Intersect
0;135;12.0664;KL DIV
0;136;0.817807;Bhattacharyya
0;136;27.5159;Chisquare
0;136;0.0981536;Correlation
0;136;2.91407;Chisquare Alt
0;136;0.197159;Intersect
0;136;12.042;KL DIV
0;137;0.816689;Bhattacharyya
0;137;59.0552;Chisquare
0;137;0.0956032;Correlation
0;137;2.90834;Chisquare Alt
0;137;0.198849;Intersect
0;137;12.0679;KL DIV
0;138;0.817765;Bhattacharyya
0;138;51.1415;Chisquare
0;138;0.0973699;Correlation
0;138;2.91257;Chisquare Alt
0;138;0.19773;Intersect
0;138;12.0534;KL DIV
0;139;0.8177;Bhattacharyya
0;139;67.1097;Chisquare
0;139;0.0962466;Correlation
0;139;2.91218;Chisquare Alt
0;139;0.197704;Intersect
0;139;12.0542;KL DIV
0;140;0.817827;Bhattacharyya
0;140;55.5104;Chisquare
0;140;0.0957149;Correlation
0;140;2.91451;Chisquare Alt
0;140;0.197528;Intersect
0;140;12.0643;KL DIV
0;141;0.817437;Bhattacharyya
0;141;39.4988;Chisquare
0;141;0.101168;Correlation
0;141;2.91042;Chisquare Alt
0;141;0.197969;Intersect
0;141;12.0737;KL DIV
0;142;0.81828;Bhattacharyya
0;142;56.4755;Chisquare
0;142;0.095751;Correlation
0;142;2.91562;Chisquare Alt
0;142;0.197794;Intersect
0;142;12.0517;KL DIV
0;143;0.818457;Bhattacharyya
0;143;45.5826;Chisquare
0;143;0.0966137;Correlation
0;143;2.9178;Chisquare Alt
0;143;0.19701;Intersect
0;143;12.0479;KL DIV
0;144;0.817923;Bhattacharyya
0;144;55.0359;Chisquare
0;144;0.0976359;Correlation
0;144;2.91475;Chisquare Alt
0;144;0.197221;Intersect
0;144;12.0512;KL DIV
0;145;0.819157;Bhattacharyya
0;145;36.0391;Chisquare
0;145;0.0947738;Correlation
0;145;2.91927;Chisquare Alt
0;145;0.196997;Intersect
0;145;12.0563;KL DIV
0;146;0.81835;Bhattacharyya
0;146;60.4824;Chisquare
0;146;0.0985188;Correlation
0;146;2.91487;Chisquare Alt
0;146;0.196895;Intersect
0;146;12.0397;KL DIV
0;147;0.818825;Bhattacharyya
0;147;37.564;Chisquare
0;147;0.0931827;Correlation
0;147;2.91947;Chisquare Alt
0;147;0.197043;Intersect
0;147;12.0173;KL DIV
0;148;0.81854;Bhattacharyya
0;148;45.9269;Chisquare
0;148;0.10016;Correlation
0;148;2.91344;Chisquare Alt
0;148;0.19757;Intersect
0;148;12.0439;KL DIV
0;149;0.819892;Bhattacharyya
0;149;25.4528;Chisquare
0;149;0.0919425;Correlation
0;149;2.92325;Chisquare Alt
